timestamp,open,high,low,close,volume,vwap
2025-04-15 07:33:00-04:00,539.76,539.76,539.66,539.66,1285.0,539.7195
2025-04-15 07:34:00-04:00,539.5,539.5,539.49,539.49,570.0,539.4945
2025-04-15 07:35:00-04:00,539.3,539.3,539.05,539.05,4035.0,539.2188
2025-04-15 07:36:00-04:00,539.0,539.12,538.7,539.12,10846.0,538.8971
2025-04-15 07:37:00-04:00,539.02,539.02,539.02,539.02,1134.0,539.0309
2025-04-15 07:38:00-04:00,539.01,539.1,539.0,539.0,1499.0,539.0314
2025-04-15 07:39:00-04:00,538.96,539.08,538.71,538.9,4191.0,538.9647
2025-04-15 07:40:00-04:00,538.96,539.0,538.96,539.0,1703.0,539.031
2025-04-15 07:41:00-04:00,539.16,539.16,539.0,539.0,1321.0,539.0425
2025-04-15 07:42:00-04:00,539.1,539.1,538.67,538.67,1580.0,538.8875
2025-04-15 07:43:00-04:00,538.6,538.72,538.45,538.45,8647.0,538.5711
2025-04-15 07:44:00-04:00,538.47,538.47,538.3,538.35,15319.0,538.3978
2025-04-15 07:45:00-04:00,538.36,538.44,538.07,538.16,7018.0,538.2325
2025-04-15 07:46:00-04:00,538.07,538.11,537.64,537.88,8879.0,537.8576
2025-04-15 07:47:00-04:00,537.9,537.96,537.59,537.59,4449.0,537.8199
2025-04-15 07:48:00-04:00,537.6,537.74,537.6,537.74,2906.0,537.6464
2025-04-15 07:49:00-04:00,537.8,537.81,537.37,537.42,6150.0,537.5382
2025-04-15 07:50:00-04:00,537.5,537.5,537.1,537.16,5636.0,537.2946
2025-04-15 07:51:00-04:00,537.04,537.28,536.9,536.97,11483.0,537.037
2025-04-15 07:52:00-04:00,537.15,537.4,537.15,537.4,7807.0,537.2586
2025-04-15 07:53:00-04:00,537.2,537.41,537.2,537.3,13867.0,537.3541
2025-04-15 07:54:00-04:00,537.54,537.7,537.54,537.64,7615.0,537.638
2025-04-15 07:55:00-04:00,537.66,537.66,537.46,537.46,4973.0,537.5779
2025-04-15 07:56:00-04:00,537.52,537.71,537.52,537.61,2972.0,537.6398
2025-04-15 07:57:00-04:00,537.69,537.87,537.6,537.6,5381.0,537.6966
2025-04-15 07:58:00-04:00,537.5,537.5,537.2,537.3,9991.0,537.3929
2025-04-15 07:59:00-04:00,537.3,537.38,537.16,537.38,2779.0,537.2614
2025-04-15 08:00:00-04:00,539.66,541.0,536.85,537.32,134199.0,538.7944
2025-04-15 08:01:00-04:00,537.34,538.5,537.2,538.5,7026.0,538.7139
2025-04-15 08:02:00-04:00,537.64,537.8,537.64,537.8,4561.0,537.7452
2025-04-15 08:03:00-04:00,537.67,537.85,537.67,537.85,2689.0,537.7783
2025-04-15 08:04:00-04:00,537.85,537.85,537.7,537.81,1906.0,537.7867
2025-04-15 08:05:00-04:00,537.75,537.92,537.7,537.81,7305.0,537.7927
2025-04-15 08:06:00-04:00,537.62,537.622,537.5417,537.622,5865.0,537.5933
2025-04-15 08:07:00-04:00,537.67,538.0,537.67,538.0,4256.0,537.8159
2025-04-15 08:08:00-04:00,537.98,538.15,537.98,538.15,3923.0,538.043
2025-04-15 08:09:00-04:00,538.1,538.1,538.0,538.0,2587.0,538.0651
2025-04-15 08:10:00-04:00,538.16,538.23,537.94,537.94,5828.0,538.0852
2025-04-15 08:11:00-04:00,537.9,537.94,537.6603,537.8206,11759.0,537.7893
2025-04-15 08:12:00-04:00,538.0,538.1085,538.0,538.0,4941.0,538.0022
2025-04-15 08:13:00-04:00,537.91,537.96,537.861,537.93,1545.0,537.9094
2025-04-15 08:15:00-04:00,537.8,537.8,537.55,537.62,7462.0,537.632
2025-04-15 08:16:00-04:00,537.5,537.59,537.34,537.5801,4860.0,537.4862
2025-04-15 08:17:00-04:00,537.65,537.74,537.43,537.5,7627.0,537.5599
2025-04-15 08:18:00-04:00,537.4988,537.56,537.25,537.3,93851.0,537.3084
2025-04-15 08:19:00-04:00,537.3,537.42,537.09,537.09,14925.0,537.2785
2025-04-15 08:20:00-04:00,537.13,537.2,536.73,536.75,81829.0,536.9864
2025-04-15 08:21:00-04:00,536.72,536.74,536.4,536.57,7600.0,536.6125
2025-04-15 08:22:00-04:00,536.45,536.74,536.45,536.7,25285.0,536.6597
2025-04-15 08:23:00-04:00,536.61,536.63,536.54,536.63,3585.0,536.6007
2025-04-15 08:24:00-04:00,536.72,536.8797,536.7,536.7,74502.0,536.7881
2025-04-15 08:25:00-04:00,536.62,536.8,536.62,536.8,2462.0,536.7187
2025-04-15 08:26:00-04:00,536.82,536.82,536.39,536.48,13178.0,536.4967
2025-04-15 08:27:00-04:00,536.42,536.57,536.16,536.24,13173.0,536.3457
2025-04-15 08:28:00-04:00,536.25,536.45,536.16,536.42,11027.0,536.261
2025-04-15 08:29:00-04:00,536.3,536.89,536.27,536.67,9372.0,536.5733
2025-04-15 08:30:00-04:00,536.67,536.98,536.67,536.82,13384.0,536.8325
2025-04-15 08:31:00-04:00,536.81,536.9795,536.75,536.9,11042.0,536.9194
2025-04-15 08:32:00-04:00,536.91,537.0,536.82,536.95,5126.0,536.8997
2025-04-15 08:33:00-04:00,536.96,537.03,536.91,536.91,13690.0,536.9821
2025-04-15 08:34:00-04:00,536.92,536.96,536.85,536.87,7023.0,536.9203
2025-04-15 08:35:00-04:00,536.96,537.07,536.83,536.9,14128.0,536.9368
2025-04-15 08:36:00-04:00,536.85,537.02,536.85,536.9,2259.0,536.9341
2025-04-15 08:37:00-04:00,537.0,537.3299,536.9717,537.27,10604.0,537.1512
2025-04-15 08:38:00-04:00,537.2501,537.4,537.2,537.32,9402.0,537.2992
2025-04-15 08:39:00-04:00,537.41,537.54,537.38,537.43,5419.0,537.4536
2025-04-15 08:40:00-04:00,537.4,537.57,537.34,537.34,10517.0,537.4854
2025-04-15 08:41:00-04:00,537.4,537.5612,537.37,537.52,8502.0,537.5076
2025-04-15 08:42:00-04:00,537.5,537.5,537.42,537.43,5389.0,537.4512
2025-04-15 08:43:00-04:00,537.52,537.8915,537.49,537.8915,16544.0,537.7421
2025-04-15 08:44:00-04:00,537.9,538.06,537.89,538.06,11918.0,537.9737
2025-04-15 08:45:00-04:00,538.0,538.03,537.57,537.57,7203.0,537.7739
2025-04-15 08:46:00-04:00,537.6401,537.65,537.5,537.54,8654.0,537.5874
2025-04-15 08:47:00-04:00,537.5599,537.6,537.37,537.5008,17554.0,537.4866
2025-04-15 08:48:00-04:00,537.51,537.95,537.51,537.95,12448.0,537.7472
2025-04-15 08:49:00-04:00,537.64,537.64,537.45,537.51,10998.0,537.5012
2025-04-15 08:50:00-04:00,537.46,537.53,537.38,537.45,5589.0,537.4389
2025-04-15 08:51:00-04:00,537.62,537.65,537.55,537.65,2609.0,537.6097
2025-04-15 08:52:00-04:00,537.61,537.68,537.55,537.6799,2893.0,537.6264
2025-04-15 08:53:00-04:00,537.65,537.96,537.65,537.93,5691.0,537.8215
2025-04-15 08:54:00-04:00,538.01,538.01,537.78,537.9,4656.0,537.8917
2025-04-15 08:55:00-04:00,537.95,538.05,537.93,537.93,5128.0,537.9771
2025-04-15 08:56:00-04:00,537.99,538.08,537.99,538.0201,2394.0,538.0516
2025-04-15 08:57:00-04:00,537.99,538.17,537.97,538.169,5857.0,538.0727
2025-04-15 08:58:00-04:00,538.2,538.3,538.2,538.22,6163.0,538.217
2025-04-15 08:59:00-04:00,538.161,538.1891,538.16,538.17,2279.0,538.1732
2025-04-15 09:00:00-04:00,538.22,538.5,538.22,538.46,5818.0,538.3673
2025-04-15 09:01:00-04:00,538.4,538.6394,538.3985,538.6394,18999.0,538.5666
2025-04-15 09:02:00-04:00,538.5991,538.69,538.55,538.59,46299.0,538.5931
2025-04-15 09:03:00-04:00,538.58,538.665,538.571,538.58,23597.0,538.6079
2025-04-15 09:04:00-04:00,538.59,538.62,538.5701,538.62,3805.0,538.6026
2025-04-15 09:05:00-04:00,538.62,538.62,538.6,538.6,1162.0,538.5928
2025-04-15 09:06:00-04:00,538.6097,538.78,538.421,538.78,6027.0,538.5858
2025-04-15 09:07:00-04:00,538.78,538.81,538.59,538.59,2030.0,538.7035
2025-04-15 09:08:00-04:00,538.79,538.82,538.65,538.65,3308.0,538.7511
2025-04-15 09:09:00-04:00,538.65,538.66,538.55,538.55,1914.0,538.5874
2025-04-15 09:10:00-04:00,538.63,538.8,538.61,538.8,5137.0,538.7072
2025-04-15 09:11:00-04:00,538.76,538.8,538.74,538.76,17015.0,538.7562
2025-04-15 09:12:00-04:00,538.76,539.14,538.75,538.85,31781.0,538.9515
2025-04-15 09:13:00-04:00,538.96,538.96,538.7,538.95,2674.0,538.8464
2025-04-15 09:14:00-04:00,538.8,538.8,538.7,538.7,1678.0,538.7311
2025-04-15 09:15:00-04:00,538.69,538.8717,538.69,538.85,1867.0,538.8025
2025-04-15 09:16:00-04:00,538.9,538.9799,538.9,538.95,3254.0,538.9327
2025-04-15 09:17:00-04:00,538.97,539.01,538.88,538.93,6043.0,538.932
2025-04-15 09:18:00-04:00,538.88,538.92,538.8,538.8005,6768.0,538.8705
2025-04-15 09:19:00-04:00,538.8,538.81,538.74,538.74,5629.0,538.7756
2025-04-15 09:20:00-04:00,538.82,538.8389,538.7,538.8389,2203.0,538.7776
2025-04-15 09:21:00-04:00,538.76,538.89,538.76,538.89,2079.0,538.8057
2025-04-15 09:22:00-04:00,538.88,538.95,538.83,538.84,30120.0,538.8694
2025-04-15 09:23:00-04:00,538.82,538.9199,538.82,538.85,3643.0,538.8587
2025-04-15 09:24:00-04:00,538.89,538.89,538.75,538.76,5076.0,538.8374
2025-04-15 09:25:00-04:00,538.76,538.84,538.6,538.82,8164.0,538.7256
2025-04-15 09:26:00-04:00,538.85,538.92,538.8,538.8999,7248.0,538.8759
2025-04-15 09:27:00-04:00,538.86,539.17,538.8,538.85,13520.0,538.9516
2025-04-15 09:28:00-04:00,538.88,539.37,538.88,539.09,23959.0,539.1248
2025-04-15 09:29:00-04:00,539.13,539.68,539.09,539.68,64945.0,539.2965
2025-04-15 09:30:00-04:00,539.675,540.12,539.44,539.73,470477.0,539.7168
2025-04-15 09:31:00-04:00,539.73,540.21,539.52,539.76,257079.0,539.8966
2025-04-15 09:32:00-04:00,539.76,540.84,539.72,540.55,272983.0,540.2557
2025-04-15 09:33:00-04:00,540.48,540.81,539.67,539.71,194044.0,540.3088
2025-04-15 09:34:00-04:00,539.6209,540.36,539.249,540.265,200589.0,539.785
2025-04-15 09:35:00-04:00,540.26,540.29,539.5,539.605,163424.0,539.9264
2025-04-15 09:36:00-04:00,539.575,540.54,539.575,539.83,96299.0,540.1555
2025-04-15 09:37:00-04:00,539.83,540.69,539.69,540.6102,119458.0,540.3322
2025-04-15 09:38:00-04:00,540.65,540.99,540.4015,540.98,143803.0,540.6649
2025-04-15 09:39:00-04:00,541.0,541.62,540.98,541.44,451474.0,541.4946
2025-04-15 09:40:00-04:00,541.45,541.77,541.37,541.4839,329975.0,541.6029
